#Data,#Data ksiêgowania,#Opis,#Kwota,#Waluta,#Kwota pozosta³a do sp³aty,#Waluta
15-01-2013,15-01-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,100.27,PLN,0.00,PLN
15-02-2013,15-02-2013,SP£ATA RATY - ODSETKI,124.82,CHF,0.00,CHF
15-02-2013,15-02-2013,SP£ATA RATY - KAPITA£,413.21,CHF,145093.20,CHF
15-02-2013,15-02-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-02-2013,15-02-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,101.71,PLN,0.00,PLN
15-03-2013,15-03-2013,SP£ATA RATY - ODSETKI,1.09,CHF,0.00,CHF
15-03-2013,15-03-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-03-2013,15-03-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,100.65,PLN,0.00,PLN
18-03-2013,18-03-2013,SP£ATA RATY - ODSETKI,111.33,CHF,0.00,CHF
18-03-2013,18-03-2013,SP£ATA RATY - KAPITA£,425.61,CHF,144667.59,CHF
15-04-2013,15-04-2013,SP£ATA RATY - ODSETKI,124.10,CHF,0.00,CHF
15-04-2013,15-04-2013,SP£ATA RATY - KAPITA£,413.93,CHF,144253.66,CHF
15-04-2013,15-04-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-04-2013,15-04-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,100.73,PLN,0.00,PLN
15-05-2013,15-05-2013,SP£ATA RATY - ODSETKI,119.75,CHF,0.00,CHF
15-05-2013,15-05-2013,SP£ATA RATY - KAPITA£,418.28,CHF,143835.38,CHF
15-05-2013,15-05-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-05-2013,15-05-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,99.23,PLN,0.00,PLN
15-06-2013,17-06-2013,INDEKSACJA SUMY UBEZPIECZENIA,0.00,,0.00,
17-06-2013,17-06-2013,SP£ATA RATY - ODSETKI,123.38,CHF,0.00,CHF
17-06-2013,17-06-2013,SP£ATA RATY - KAPITA£,414.65,CHF,143420.73,CHF
15-06-2013,17-06-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-06-2013,17-06-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,102.04,PLN,0.00,PLN
15-07-2013,15-07-2013,SP£ATA RATY - ODSETKI,119.06,CHF,0.00,CHF
15-07-2013,15-07-2013,SP£ATA RATY - KAPITA£,205.55,CHF,143215.18,CHF
15-07-2013,15-07-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,102.65,PLN,0.00,PLN
15-07-2013,15-07-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
18-07-2013,18-07-2013,SP£ATA RATY - KAPITA£,103.77,CHF,143111.41,CHF
19-07-2013,19-07-2013,SP£ATA RATY - KAPITA£,83.82,CHF,143027.59,CHF
19-07-2013,19-07-2013,SP£ATA RATY - ODSETKI KARNE,0.03,CHF,0.00,CHF
22-07-2013,22-07-2013,SP£ATA RATY - KAPITA£,25.83,CHF,143001.76,CHF
22-07-2013,22-07-2013,SP£ATA RATY - ODSETKI KARNE,0.02,CHF,0.00,CHF
16-08-2013,16-08-2013,SP£ATA RATY - ODSETKI,122.67,CHF,0.00,CHF
16-08-2013,16-08-2013,SP£ATA RATY - KAPITA£,415.36,CHF,142586.40,CHF
15-08-2013,16-08-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-08-2013,16-08-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,100.65,PLN,0.00,PLN
16-09-2013,16-09-2013,SP£ATA RATY - ODSETKI,122.31,CHF,0.00,CHF
16-09-2013,16-09-2013,SP£ATA RATY - KAPITA£,415.72,CHF,142170.68,CHF
15-09-2013,16-09-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,99.97,PLN,0.00,PLN
15-09-2013,16-09-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-10-2013,15-10-2013,SP£ATA RATY - ODSETKI,118.02,CHF,0.00,CHF
15-10-2013,15-10-2013,SP£ATA RATY - KAPITA£,420.01,CHF,141750.67,CHF
15-10-2013,15-10-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-10-2013,15-10-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,99.29,PLN,0.00,PLN
15-11-2013,15-11-2013,SP£ATA RATY - ODSETKI,121.59,CHF,0.00,CHF
15-11-2013,15-11-2013,SP£ATA RATY - KAPITA£,137.10,CHF,141613.57,CHF
15-11-2013,15-11-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-11-2013,15-11-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,99.02,PLN,0.00,PLN
25-11-2013,25-11-2013,SP£ATA RATY - KAPITA£,279.34,CHF,141334.23,CHF
25-11-2013,25-11-2013,SP£ATA RATY - ODSETKI KARNE,0.84,CHF,0.00,CHF
16-12-2013,16-12-2013,SP£ATA RATY - ODSETKI,117.33,CHF,0.00,CHF
16-12-2013,16-12-2013,SP£ATA RATY - KAPITA£,420.70,CHF,140913.53,CHF
15-12-2013,16-12-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-12-2013,16-12-2013,OP£ACENIE SK£ADKI UBEZPIECZ.,99.60,PLN,0.00,PLN
15-01-2014,15-01-2014,SP£ATA RATY - ODSETKI,120.88,CHF,0.00,CHF
15-01-2014,15-01-2014,SP£ATA RATY - KAPITA£,417.15,CHF,140496.38,CHF
15-01-2014,15-01-2014,OP£ACENIE SK£ADKI UBEZPIECZ.,97.41,PLN,0.00,PLN
15-01-2014,15-01-2014,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
17-02-2014,17-02-2014,SP£ATA RATY - ODSETKI,120.52,CHF,0.00,CHF
17-02-2014,17-02-2014,SP£ATA RATY - KAPITA£,417.51,CHF,140078.87,CHF
15-02-2014,17-02-2014,OP£ACENIE SK£ADKI UBEZPIECZ.,26.35,PLN,0.00,PLN
15-02-2014,17-02-2014,OP£ACENIE SK£ADKI UBEZPIECZ.,98.24,PLN,0.00,PLN
